 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1999,498,255,255,255,26.871,23.597,2.405,0.903,1.139,0.878,0.945
2000,496,255,255,255,25.741,24.534,41.693,0.894,1.049,0.953,0.939
2001,466,255,255,255,27.029,21.952,101.058,0.905,1.231,0.812,0.953
2002,414,255,255,255,24.648,21.386,169.868,0.891,1.153,0.868,0.936
2003,320,255,255,255,21.422,19.020,172.899,0.859,1.126,0.888,0.924
2004,455,255,255,255,26.965,21.484,124.832,0.910,1.255,0.797,0.952
2005,453,255,255,255,25.800,22.356,141.832,0.875,1.154,0.867,0.939
2006,352,255,255,255,24.772,18.092,94.395,0.857,1.369,0.730,0.934
2007,303,255,255,255,23.331,16.536,75.884,0.908,1.411,0.709,0.948
2008,476,255,255,255,26.393,22.963,61.984,0.919,1.149,0.870,0.949
2009,286,255,255,255,20.225,18.005,136.707,0.937,1.123,0.890,0.944
2010,474,255,255,255,26.387,22.872,121.485,0.921,1.154,0.867,0.954
2011,470,255,255,255,26.691,22.421,44.977,0.884,1.190,0.840,0.935
2012,439,255,255,255,25.570,21.859,25.634,0.905,1.170,0.855,0.945
2013,428,255,255,255,24.868,21.913,28.987,0.864,1.135,0.881,0.929
2014,418,255,255,255,23.436,22.709,32.352,0.899,1.032,0.969,0.938
2015,398,255,255,255,28.465,17.803,82.077,0.838,1.599,0.625,0.941
2016,356,255,255,255,21.765,20.826,159.582,0.924,1.045,0.957,0.946
2017,439,255,255,255,24.814,22.525,26.737,0.924,1.102,0.908,0.946
2018,451,255,255,255,24.881,23.079,72.758,0.897,1.078,0.928,0.931
